member_casual,hour,ride_count
casual,0,37297
casual,1,23767
casual,2,15845
casual,3,8737
casual,4,6999
casual,5,11282
casual,6,26123
casual,7,48470
casual,8,68778
casual,9,68482
casual,10,82705
casual,11,105006
casual,12,123916
casual,13,127736
casual,14,134284
casual,15,149422
casual,16,170668
casual,17,184910
casual,18,158036
casual,19,117588
casual,20,84484
casual,21,72206
casual,22,60676
casual,23,43863
member,0,31676
member,1,19294
member,2,11569
member,3,7548
member,4,8771
member,5,34493
member,6,100841
member,7,200276
member,8,256998
member,9,165055
member,10,141759
member,11,165428
member,12,187639
member,13,183966
member,14,186994
member,15,237044
member,16,334998
member,17,381421
member,18,293551
member,19,202615
member,20,140934
member,21,109726
member,22,79818
member,23,49644
